archival_object_id,archival_object_uris,resource_uri,display_string,updated
305,repositories/2/archival_objects/305,/repositories/2/resources/2,"Faculty meeting minutes, 1865 September 25 - 1874 May 30",True
306,repositories/2/archival_objects/306,/repositories/2/resources/2,"Faculty meeting minutes, 1874 June 12 - 1878 December 28",True
307,repositories/2/archival_objects/307,/repositories/2/resources/2,"Faculty meeting minutes, 1879 January 4 - 1882 April 19",True
308,repositories/2/archival_objects/308,/repositories/2/resources/2,"Faculty meeting minutes, 1882 April 26 - 1886 December 29",True
309,repositories/2/archival_objects/309,/repositories/2/resources/2,"Faculty meeting minutes, 1887 January 12 - 1891 May 19",True
310,repositories/2/archival_objects/310,/repositories/2/resources/2,"Index to minutes, volume 5, 1887 January 12 - 1891 May 19",True
311,repositories/2/archival_objects/311,/repositories/2/resources/2,"Faculty meeting minutes, 1891 May 26 - 1893 September 20",True
312,repositories/2/archival_objects/312,/repositories/2/resources/2,"Index to minutes, volume 6, 1891 May 26 - 1893 September 20",True
313,repositories/2/archival_objects/313,/repositories/2/resources/2,"Faculty meeting minutes, 1893 September 27 - 1895 July 5",True
314,repositories/2/archival_objects/314,/repositories/2/resources/2,"Faculty meeting minutes, 1895 September 14 - 1897 March 17",True
